repository,owner_repo,tags,zip_sha256
https://github.com/111ayba/kaspersky-tdsskiller-3-1-1-29-toolkit,111ayba/kaspersky-tdsskiller-3-1-1-29-toolkit,skill,645ac712b524a3ddeb60548e4e62d497fb8f38915fbc519b6b8715bb19a13eb2
https://github.com/123affano1/claudetrack,123affano1/claudetrack,claude,71b37b48f80106fc864be7e82481cd1a2f7decfeaf1dce45abb924d7f32da933
https://github.com/1sustgmboab/nexonco-mcp,1sustgmboab/nexonco-mcp,mcp,a866d90d6f1dd82ddcd2cbef4f5550c77bb58dbda87c02eedb441a117b7d89b9
https://github.com/2josEx/claude-brain,2josEx/claude-brain,claude,a271231ebf6174b11aeb3337c238abc0eac44b48b5fa8d2b168883601d8cc3a5
https://github.com/428alexander9/claude-skills-marketplace,428alexander9/claude-skills-marketplace,skill,claude,f07a4eadd43513f56ae4fdf6f6dfc966de17f06093c75c1dec0dd426668779f9
https://github.com/45d5r/databricks-mcp-server,45d5r/databricks-mcp-server,mcp,66afc7d87d10dbe392898c4e5c613e0442fabb396415c2bef3a5ef2ac752c5ad
https://github.com/7ossamfarid/mcp-mindmesh,7ossamfarid/mcp-mindmesh,mcp,e8da8c82ccb1c6fd68e7c03187485d6ebbd07a4946a7f07cac54fef65b00d2bf
https://github.com/AAAbiola/openclaw-docker,AAAbiola/openclaw-docker,openclaw,11c06aab7aa3f1857cc9add05b392ba6bd62a7fd2d168e41d9ba5557a96c78f0
https://github.com/ABINETHACKER/MUSTer_MCP,ABINETHACKER/MUSTer_MCP,mcp,05d7bf7f611a563b6e549472d692191b19d9035e1e44480dec64dc65e4803fa8
https://github.com/AX661s/openclaw-metacog-template,AX661s/openclaw-metacog-template,openclaw,12dad8b8fcb6a5208f3c486da88af3990b3c9442bae71f292afc26dc5aa31501
https://github.com/Aadarshac/openclaw-dashboard,Aadarshac/openclaw-dashboard,openclaw,87ef25e11ae358aa2e56f0ea630b94c4b454d64244e9b1c3295ec5facd7a6b75
https://github.com/Abwor9658/social-media-skills,Abwor9658/social-media-skills,skill,51b1e5782c8de0fe8cbeaf939c74c5ebff6fbefe947fed77249b0af95fa22c5e
https://github.com/Aditya923-c/xpoz-agent-skills,Aditya923-c/xpoz-agent-skills,skill,d101932c45daf9a6a4caaa10166f1120ad0341627320ba0d1eae4240d8453029
https://github.com/Adri3l-R3nan/cognify-skills,Adri3l-R3nan/cognify-skills,skill,a564508e7f7a381267e07f5911ba04ce4e1909209fe5f05ed764f75c4b1d230b
https://github.com/Ahmedfares3/plugins,Ahmedfares3/plugins,plugin,e2b189757b1397482596aa74d3ef3a9a14fa9bde9082fe1aefc7f159d14cad13
https://github.com/Aleksa1982/claude-mem,Aleksa1982/claude-mem,claude,834a8f5a37bff0948ce80d63f50d7487814036cedc90e067fc000a3792aeb0d9
https://github.com/Alihusn3392/claude-code-from-scratch,Alihusn3392/claude-code-from-scratch,claude,be547de2d9ad68f0020c5fd17c7bf8708435d0b0218c94ed859458e1c7729164
https://github.com/Anagogic-blastinggelatin157/hookradar-agent-skill,Anagogic-blastinggelatin157/hookradar-agent-skill,skill,6c76d738b789fc9251654e3ca7d698fa4e0de8f129f2d1f7ae440344c1e46ffa
https://github.com/Analliseamicable382/bbc-skill,Analliseamicable382/bbc-skill,skill,8ac1e060242264e57ce97d64a90359b8be03ff9c3aad66216dfd20c768de5fde
https://github.com/Anatomic-universalquantifier643/shop-tryon-skill,Anatomic-universalquantifier643/shop-tryon-skill,skill,f1d3411f97c75fb56d80170d95373ac9fb66d4181ba63641f54465e9e5bc2401
