инструмент	актуальная_ссылка	запасная_копия	копий
---	https://github.com/Da-vid123/---	—	1
-arp-spoofing-detection-active-injection-technique	https://github.com/xbxh6452/-ARP-Spoofing-Detection-Active-Injection-Technique	—	1
-classification-with-random-forest	https://github.com/kaninis/-Classification-with-Random-Forest	—	1
-discord-osint-transform-for-maltego	https://github.com/bryanppa5478/-Discord-OSINT-Transform-for-Maltego	—	1
-ecotech-	https://github.com/eldthosabu19/-EcoTech-	—	1
-flash-loans-in-defi-no-collateral-crypto-lending-explained	https://github.com/nasir3718/-Flash-Loans-in-DeFi-No-Collateral-Crypto-Lending-Explained	—	1
-income-mortgage-housing-insights-a-state-city-analysis-	https://github.com/willsondev/-Income-Mortgage-Housing-Insights-A-State-City-Analysis-	—	1
-os_project	https://github.com/ChidumemIronanduka/-OS_Project	—	1
-smart-assistant-rag-pipeline-project	https://github.com/anditaadhi/-Smart-Assistant-RAG-Pipeline-Project	—	1
-superagent-hub	https://github.com/redd357magnum-ship-it/-SuperAgent-Hub	—	1
-yolov8-	https://github.com/mohamedsamy3450/-yolov8-	—	1
.ai-dev	https://github.com/AdrianNablo/.ai-dev	—	1
.emacs.d	https://github.com/nomanjoiya228/.emacs.d	—	1
.github	https://github.com/Reborn-Swordsman-Scriptorium/.github	https://github.com/ViolatedPrincess-Infinite-Unlocks/.github	5
.net-microservices-with-aspire	https://github.com/snipingturt/.NET-Microservices-with-Aspire	—	1
010-020-022_datamining_polibatam	https://github.com/danieltulus/010-020-022_datamining_polibatam	—	1
04python-carpricepredictor	https://github.com/Anjinho176/04Python-CarPricePredictor	—	1
07-fpga-itch-parser-v5	https://github.com/prdo0985/07-fpga-itch-parser-v5	—	1
0xbuilder	https://github.com/Konnuyu/0xBuilder	—	1
1	https://github.com/AJLGamez1/1	https://github.com/Endemical-phoebe6339/1	2
1-20-assignment	https://github.com/darkkshah/1-20-assignment	—	1
1000-final-year-project-list-pdf	https://github.com/Arcadia0Clearwater/1000-Final-Year-Project-List-pdf	—	1
100xdev-ci-cd	https://github.com/sociologisttentcaterpillarmoth213/100xdev-ci-cd	—	1
10113	https://github.com/HenrikHovhannisyan/10113	—	1
10ssoonbase	https://github.com/Parth3199/10ssoonBase	—	1
110-sequence-detector	https://github.com/Janemcfadden1090/110-Sequence-Detector	—	1
12-03assignment	https://github.com/eltrapico2/12-03assignment	—	1
1af-starwars-theoldrepublicff	https://github.com/saeeed123/1af-StarWars-TheOldRepublicff	—	1
1cat-vllm	https://github.com/donitb934/1Cat-vLLM	—	1
20-god-tier-ai-coding-extensions-part-1	https://github.com/hari11v/20-God-Tier-AI-Coding-Extensions-Part-1	—	1
2025-blog-public	https://github.com/Zyadooo/2025-blog-public	—	1
2025-tencent-advertising-algorithm-competition-finalist	https://github.com/faithlumumba/2025-tencent-advertising-algorithm-competition-finalist	—	1
2025doubao-free-api	https://github.com/longphamok1323/2025doubao-free-api	—	1
2026-all-brands-bootloader-unlock-status	https://github.com/Yoda6-9/2026-All-Brands-Bootloader-Unlock-Status	—	1
20260113230706-goldendict	https://github.com/therbl/20260113230706-goldendict	—	1
21-40-assignment	https://github.com/darkkshah/21-40-Assignment	—	1
2332245.github.io	https://github.com/2332245/2332245.github.io	—	1
25dollarphone	https://github.com/Arielsharp/25DollarPhone	—	1
2brou.fr_web	https://github.com/remyaravikumar2912/2brou.fr_web	—	1
32	https://github.com/abdalrhmanasif5/32	—	1
3am-ai	https://github.com/aitora159-art/3am-AI	—	1
3d-editor	https://github.com/SHOEAB11/3D-editor	—	1
3d_printer	https://github.com/studiosdilsonsilva/3D_Printer	—	1
3dfiai	https://github.com/youssef13312313/3DFIAI	—	1
3dsconverters	https://github.com/O-FB/3DSConverters	—	1
42-hackaton	https://github.com/Sammeer786/42-Hackaton	—	1
42_m02_push_swap	https://github.com/able-planking449/42_M02_push_swap	—	1
480b-setup	https://github.com/kaya303off/480b-setup	—	1
50stars	https://github.com/frpbypass12208/50stars	—	1
5g-edge-lab	https://github.com/Sahilj8118-ai/5g-edge-lab	—	1
5yn-performativecomplexity-killer	https://github.com/Muzzbuzz24/5YN-PerformativeComplexity-Killer	—	1
678	https://github.com/Perpaft11/678	—	1
69ir.github.io	https://github.com/69IR/69ir.github.io	—	1
7-zip-cve-2025-0411-poc	https://github.com/RustMacrosRecoil/7-Zip-CVE-2025-0411-POC	—	1
7semi-as7343	https://github.com/Patriciopaulo1995/7Semi-AS7343	—	1
8-ball-pool-aim-assist	https://github.com/Nisba009/8-ball-pool-aim-assist	—	1
99-nights-in-the-forest-script	https://github.com/shafhyfox/99-Nights-in-The-Forest-Script	—	1
9level-monitor	https://github.com/americanismlemniscus93/9level-monitor	—	1
__2025_07_08_tvdi_crawler__	https://github.com/Chance6969-hue/__2025_07_08_tvdi_crawler__	—	1
__2025_10_26_chihlee_pi_pico__	https://github.com/ammoniated-rugbyfootball196/__2025_10_26_chihlee_pi_pico__	—	1
a11y-bookmarklets	https://github.com/alejandrogiga98/A11y-Bookmarklets	—	1
aaabiola.github.io	https://github.com/AAAbiola/aaabiola.github.io	—	1
aaai-26-reproduction-checklist	https://github.com/Anon-234981/aaai-26-reproduction-checklist	—	1
aapl-gru-stock-forecaster	https://github.com/Alex947-blip/AAPL-GRU-Stock-Forecaster	https://github.com/dsvdgfhg/AAPL-GRU-Stock-Forecaster	2
aappmart	https://github.com/sairysee/aappmart	—	1
aar-act	https://github.com/Fayku57/Aar-Act	—	1
aavegotchi-cheat-crypto-bot-auto-farm-clicker-game-api-hack	https://github.com/roter515stuhl/Aavegotchi-Cheat-Crypto-Bot-Auto-Farm-Clicker-Game-Api-Hack	—	1
aayush	https://github.com/DarkException22/Aayush	—	1
ab-makine-kullanma-kilavuzu-sablonu	https://github.com/Pipfury007/ab-makine-kullanma-kilavuzu-sablonu	—	1
abbyy-finereader-working	https://github.com/Obsequious-rhineland344/ABBYY-FineReader-Working	—	1
abdalrhmanasif5.github.io	https://github.com/abdalrhmanasif5/abdalrhmanasif5.github.io	—	1
abdullah7cv.github.io	https://github.com/abdullah7cv/abdullah7cv.github.io	—	1
abinas-lokuch-design	https://github.com/dafffaakhairy/abinas-lokuch-design	—	1
abitragebot	https://github.com/Bicapsular-consulate683/abitragebot	—	1
ableton-live-12-desktop	https://github.com/Gifttaxethane433/Ableton-Live-12-Desktop	—	1
about	https://github.com/ck20server/About	—	1
absenku	https://github.com/Erfundamentalist881/ABSENKU	—	1
academic-research-skills	https://github.com/micrometeoric-eye978/academic-research-skills	—	1
academic_paper_generation	https://github.com/aserrato7n/academic_paper_generation	—	1
acadex-ai-google-deepmind	https://github.com/AsherFn/Acadex-AI-Google-Deepmind	—	1
accidenta-fullstack	https://github.com/1342342342fsdfsdfsdfsd/accidenta-fullstack	—	1
accounting-documents-ai-agent	https://github.com/alvszph/accounting-documents-ai-agent	—	1
accounting-wordpress-theme	https://github.com/wurggsistimme/accounting-wordpress-theme	—	1
accumulative-decoding	https://github.com/Gogokok9072/Accumulative-Decoding	—	1
acdsee-photo-editor-repack	https://github.com/Mohamedarim/ACDSee-Photo-Editor-Repack	—	1
acdsee-photo-studio-professional-download	https://github.com/gamer615/ACDSee-Photo-Studio-Professional-Download	—	1
ace-step-installer	https://github.com/weldmentestoppel591/ACE-Step-Installer	—	1
ace-tool	https://github.com/SantiagoRM9/ace-tool	—	1
aceserve-trainer-tennismanager25	https://github.com/AttriKartik123/AceServe-Trainer-TennisManager25	—	1
acgzone1	https://github.com/guluguluriz/acgzone1	—	1
acl-next	https://github.com/krishn11x/ACL-Next	—	1
